@@,geo,time,mean_years_in_school_women_25_to_34_years,changes(%)
->,svk,1972,6.4->7.49,17.03
->,swz,1972,2.5->3.43,37.20
->,syc,1972,5.2->4.6,11.54
->,syr,1972,1.6->2.1,31.25
->,tcd,1972,0.2->0.39,95.00
->,tgo,1972,0.7->1.11,58.57
->,tls,1972,0.5->2.06,312.00
->,ton,1972,7.1->6.27,11.69
->,tun,1972,1.2->1.65,37.50
->,tur,1972,2.1->3.1,47.62
->,twn,1972,4.8->6.66,38.75
->,tza,1972,1.8->2.37,31.67
->,uga,1972,1.4->1.86,32.86
->,ukr,1972,9.3->7.61,18.17
+++,vct,1972,4.56,
->,vnm,1972,4.7->3.82,18.72
->,vut,1972,2.8->3.23,15.36
->,yem,1972,0.1->0.27,170.00
->,zaf,1972,4.1->5.41,31.95
->,zwe,1972,2.9->3.87,33.45
->,afg,1973,0.1->0.23,130.00
->,ago,1973,1.2->1.56,30.00
->,alb,1973,6.5->5.74,11.69
+++,and,1973,8.59,
->,arm,1973,8->6.84,14.50
->,atg,1973,8.7->7.77,10.69
->,aus,1973,9.9->8.81,11.01
->,bdi,1973,0.7->1.11,58.57
->,ben,1973,0.6->0.73,21.67
->,bfa,1973,0.2->0.4,100.00
->,bgd,1973,1->1.26,26.00
->,bhr,1973,3.2->3.63,13.44
->,bhs,1973,7.8->6.84,12.31
->,bih,1973,3.7->4.72,27.57
->,blr,1973,9->7.96,11.56
->,blz,1973,5.1->3.84,24.71
->,bol,1973,3.2->3.7,15.62
->,bra,1973,3.3->3.63,10.00
+++,brb,1973,4.68,
+++,brn,1973,7.84,
+++,btn,1973,0.88,
->,bwa,1973,2.3->2.61,13.48
->,caf,1973,0.6->1.24,106.67
->,chn,1973,2.9->3.88,33.79
->,civ,1973,0.7->1.05,50.00
->,cmr,1973,1.6->1.97,23.12
->,cod,1973,1.7->2.02,18.82
->,cog,1973,2.2->2.87,30.45
->,com,1973,0.7->1.7,142.86
->,cpv,1973,1.3->1.92,47.69
->,cub,1973,7.1->6.35,10.56
->,cze,1973,10->8.39,16.10
->,dji,1973,0.5->1.1,120.00
+++,dma,1973,5.73,
->,dza,1973,1.7->2.57,51.18
->,egy,1973,2.1->2.75,30.95
->,eri,1973,0.4->1.07,167.50
->,esp,1973,4.2->6.29,49.76
->,est,1973,8.7->7.77,10.69
->,eth,1973,0.2->1.01,405.00
->,fji,1973,6.4->5.73,10.47
+++,fsm,1973,5.93,
->,gab,1973,2.8->4.71,68.21
->,gbr,1973,9.6->8.32,13.33
->,geo,1973,9.6->8,16.67
->,gin,1973,0.3->0.52,73.33
->,gmb,1973,0.7->0.93,32.86
->,gnb,1973,0.3->0.57,90.00
->,gnq,1973,2.1->2.43,15.71
+++,grd,1973,4.68,
->,gtm,1973,1.7->2.2,29.41
->,guy,1973,4.4->4.9,11.36
->,hrv,1973,5.4->6.19,14.63
->,hti,1973,1->1.92,92.00
->,idn,1973,2.4->3.17,32.08
->,ind,1973,1.3->1.45,11.54
->,irq,1973,3->1.78,40.67
+++,isl,1973,8.18,
->,ita,1973,7.3->8.15,11.64
->,jam,1973,6.9->5.92,14.20
->,jor,1973,3.5->4.46,27.43
->,ken,1973,2.1->2.57,22.38
->,khm,1973,1.4->1.78,27.14
->,kwt,1973,3.5->4.61,31.71
->,lao,1973,1.1->1.85,68.18
->,lbn,1973,4->4.69,17.25
->,lbr,1973,0.7->0.77,10.00
+++,lby,1973,1.95,
->,lca,1973,6.2->5.39,13.06
->,lva,1973,9.7->8.04,17.11
->,mar,1973,0.8->1.29,61.25
->,mdv,1973,3.4->2.75,19.12
->,mli,1973,0.3->0.37,23.33
+++,mlt,1973,6.2,
->,mmr,1973,2.2->2.63,19.55
->,mng,1973,6.5->5.65,13.08
->,moz,1973,0.7->0.86,22.86
->,mrt,1973,0.5->1.32,164.00
->,mus,1973,3.1->3.58,15.48
->,mwi,1973,1.2->1.43,19.17
->,mys,1973,3.7->4.2,13.51
->,nam,1973,3.3->3.77,14.24
->,ner,1973,0.2->0.36,80.00
->,nga,1973,1.4->2.07,47.86
->,nic,1973,3.9->3.49,10.51
->,npl,1973,0.3->0.7,133.33
->,omn,1973,1.5->2.81,87.33
->,pak,1973,0.6->0.9,50.00
->,per,1973,4.3->4.99,16.05
->,png,1973,1.1->1.91,73.64
+++,prk,1973,4.98,
->,prt,1973,4.1->4.89,19.27
->,pse,1973,3.6->4.69,30.28
->,qat,1973,3.7->4.37,18.11
->,rus,1973,7.5->8.61,14.80
->,rwa,1973,1->1.46,46.00
->,sau,1973,1.6->3.04,90.00
->,sdn,1973,0.9->1.5,66.67
->,sen,1973,0.7->0.8,14.29
->,sgp,1973,4.6->5.67,23.26
->,sle,1973,0.5->0.56,12.00
->,som,1973,0.2->0.52,160.00
+++,ssd,1973,0.3,
->,stp,1973,1.7->1.9,11.76
->,svk,1973,6.7->7.66,14.33
->,swz,1973,2.6->3.54,36.15
->,syc,1973,5.3->4.73,10.75
->,syr,1973,1.7->2.17,27.65
->,tcd,1973,0.2->0.41,105.00
->,tgo,1973,0.7->1.15,64.29
->,tls,1973,0.6->2.13,255.00
->,ton,1973,7.3->6.42,12.05
->,tun,1973,1.3->1.73,33.08
->,tur,1973,2.2->3.18,44.55
->,twn,1973,5.1->6.83,33.92
->,tza,1973,1.8->2.44,35.56
->,uga,1973,1.5->1.92,28.00
->,ukr,1973,9.5->7.77,18.21
+++,vct,1973,4.68,
->,vnm,1973,4.8->3.92,18.33
->,vut,1973,2.9->3.32,14.48
->,yem,1973,0.1->0.29,190.00
->,zaf,1973,4.3->5.53,28.60
->,zwe,1973,3->3.98,32.67
->,afg,1974,0.1->0.24,140.00
->,ago,1974,1.2->1.61,34.17
->,alb,1974,6.6->5.87,11.06
+++,and,1974,8.76,
->,arm,1974,8.2->7,14.63
->,atg,1974,8.9->7.93,10.90
->,aus,1974,10->8.97,10.30
->,bdi,1974,0.8->1.15,43.75
->,ben,1974,0.6->0.75,25.00
->,bfa,1974,0.3->0.42,40.00
->,bgd,1974,1.1->1.31,19.09
->,bhr,1974,3.4->3.76,10.59
->,bhs,1974,7.9->6.99,11.52
->,bih,1974,3.8->4.84,27.37
->,blr,1974,9.2->8.12,11.74
->,blz,1974,5.3->3.94,25.66
->,bol,1974,3.4->3.8,11.76
+++,brb,1974,4.8,
+++,brn,1974,8,
+++,btn,1974,0.91,
->,caf,1974,0.7->1.28,82.86
->,che,1974,8.8->7.87,10.57
->,chn,1974,3->3.98,32.67
->,civ,1974,0.7->1.08,54.29
->,cmr,1974,1.7->2.05,20.59
->,cod,1974,1.8->2.08,15.56
->,cog,1974,2.3->2.96,28.70
->,com,1974,0.7->1.76,151.43
->,cpv,1974,1.3->1.98,52.31
->,cub,1974,7.3->6.5,10.96
->,cze,1974,10.2->8.56,16.08
->,dji,1974,0.6->1.13,88.33
+++,dma,1974,5.87,
->,dza,1974,1.8->2.65,47.22
->,egy,1974,2.2->2.84,29.09
->,eri,1974,0.4->1.1,175.00
->,esp,1974,4.4->6.44,46.36
->,est,1974,8.9->7.94,10.79
->,eth,1974,0.3->1.05,250.00
+++,fsm,1974,6.07,
->,gab,1974,3->4.84,61.33
->,gbr,1974,9.8->8.48,13.47
->,geo,1974,9.8->8.16,16.73
->,gin,1974,0.4->0.53,32.50
->,gmb,1974,0.7->0.96,37.14
->,gnb,1974,0.3->0.59,96.67
->,gnq,1974,2.2->2.5,13.64
+++,grd,1974,4.8,
->,gtm,1974,1.8->2.27,26.11
->,hrv,1974,5.6->6.34,13.21
->,hti,1974,1.1->1.98,80.00
->,idn,1974,2.5->3.27,30.80
->,irq,1974,3.1->1.86,40.00
+++,isl,1974,8.34,
->,ita,1974,7.5->8.31,10.80
->,jam,1974,7.1->6.06,14.65
->,jor,1974,3.7->4.62,24.86
->,ken,1974,2.2->2.67,21.36
->,khm,1974,1.5->1.83,22.00
->,kwt,1974,3.7->4.75,28.38
->,lao,1974,1.1->1.91,73.64
->,lbn,1974,4.2->4.81,14.52
+++,lby,1974,2.01,
->,lca,1974,6.4->5.52,13.75
->,lva,1974,9.9->8.2,17.17
->,mar,1974,0.8->1.34,67.50
->,mdv,1974,3.5->2.83,19.14
+++,mlt,1974,6.32,
->,mmr,1974,2.4->2.71,12.92
->,mng,1974,6.7->5.79,13.58
->,moz,1974,0.7->0.89,27.14
->,mrt,1974,0.5->1.37,174.00
->,mus,1974,3.3->3.69,11.82
->,mwi,1974,1.3->1.48,13.85
->,mys,1974,3.9->4.34,11.28
->,nam,1974,3.5->3.87,10.57
->,ner,1974,0.2->0.37,85.00
->,nga,1974,1.5->2.14,42.67
->,nic,1974,4->3.59,10.25
->,npl,1974,0.3->0.73,143.33
->,omn,1974,1.6->2.9,81.25
->,pak,1974,0.6->0.94,56.67
->,per,1974,4.5->5.13,14.00
->,png,1974,1.2->1.97,64.17
+++,prk,1974,5.11,
->,prt,1974,4.3->5.02,16.74
->,pse,1974,3.8->4.82,26.84
->,qat,1974,3.9->4.49,15.13
->,rus,1974,7.8->8.78,12.56
->,rwa,1974,1.1->1.51,37.27
->,sau,1974,1.7->3.14,84.71
->,sdn,1974,1->1.55,55.00
->,sen,1974,0.7->0.83,18.57
->,sgp,1974,4.8->5.82,21.25
->,sle,1974,0.5->0.59,18.00
->,som,1974,0.2->0.54,170.00
+++,ssd,1974,0.31,
->,svk,1974,6.9->7.82,13.33
->,swz,1974,2.8->3.66,30.71
->,syc,1974,5.5->4.87,11.45
->,syr,1974,1.9->2.25,18.42
