@@,geo,time,income_share_of_middle_20percent,changes(%)
+++,slv,2007,13.66,
+++,slv,2008,13.41,
+++,slv,2009,13.75,
+++,slv,2010,14.22,
+++,slv,2011,14.44,
+++,slv,2012,14.67,
+++,slv,2013,14.2,
+++,slv,2014,14.58,
+++,est,2001,15.85,
+++,est,2003,16.46,
+++,est,2005,16.32,
+++,est,2006,16.25,
+++,est,2007,16.76,
+++,est,2008,16.59,
+++,est,2009,16.93,
+++,est,2010,17.06,
+++,est,2011,16.64,
+++,est,2012,16.48,
+++,eth,1981,16.37,
+++,eth,1999,16.77,
+++,eth,2004,16.89,
+++,eth,2010,16.34,
+++,fji,2002,14.86,
+++,fji,2008,13.88,
+++,fin,2004,17.18,
+++,fin,2005,17.32,
+++,fin,2006,17.34,
+++,fin,2007,17.25,
+++,fin,2008,17.33,
+++,fin,2009,17.48,
+++,fin,2010,17.42,
+++,fin,2011,17.33,
+++,fin,2012,17.45,
+++,fra,2004,17,
+++,fra,2005,17.18,
+++,fra,2006,17.33,
+++,fra,2007,16.49,
+++,fra,2008,16.48,
+++,fra,2010,16.33,
+++,fra,2011,16.44,
+++,fra,2012,16.52,
+++,geo,1997,15.24,
+++,geo,1998,15.47,
+++,geo,2000,15.4,
+++,geo,2001,15.39,
+++,geo,2003,15.56,
+++,geo,2004,15.66,
+++,geo,2006,15.38,
+++,geo,2007,15.24,
+++,geo,2008,15.35,
+++,geo,2009,14.7,
->,mar->geo,1985->2010,15.07,
