@@,geo,time,urban_poverty_percent_urban_people_below_national_urban,changes(%)
->,bgd->civ,1996->2008,29.4,
+++,civ,2015,35.9,
->,dom,2000,18.2->23.7,30.22
+++,dom,2001,24.8,
+++,dom,2002,24.9,
+++,dom,2003,33.9,
->,dom,2004,34.7->44.4,27.95
+++,dom,2005,42.8,
+++,dom,2006,38.8,
+++,dom,2007,39.1,
+++,dom,2008,38.8,
+++,dom,2009,37.9,
+++,dom,2010,37.3,
+++,dom,2011,36.5,
+++,dom,2012,36.8,
+++,dom,2013,36.3,
+++,ecu,2000,54.6,
+++,ecu,2001,45.3,
+++,ecu,2003,38.8,
+++,ecu,2004,32.5,
+++,ecu,2005,31,
+++,ecu,2006,25.9,
+++,ecu,2007,24.3,
+++,ecu,2008,22.6,
+++,ecu,2009,25,
+++,ecu,2010,22.5,
+++,ecu,2011,17.4,
+++,ecu,2012,16.1,
+++,ecu,2013,17.6,
+++,ecu,2014,16.4,
+++,egy,2000,9.3,
+++,egy,2004,10.1,
+++,egy,2008,11,
+++,egy,2010,15.3,
+++,slv,2005,30.9,
+++,slv,2006,27.7,
+++,slv,2007,29.8,
+++,slv,2008,35.7,
+++,slv,2009,33.3,
+++,slv,2010,33,
+++,slv,2011,35.4,
->,arg->slv,1998->2012,29.9,
+++,slv,2013,26.2,
->,slv,2002->2014,28.5,
+++,gnq,2006,31.5,
+++,eri,1993,62,
+++,eth,1995,33.2,
+++,eth,1999,36.9,
+++,eth,2004,35.1,
+++,eth,2010,25.7,
+++,fji,2002,34.5,
+++,fji,2008,26.2,
->,kgz->gab,2005,29.8,
+++,gmb,2010,32.7,
+++,geo,2007,16.2,
+++,geo,2008,13.4,
+++,geo,2009,14.2,
+++,geo,2010,17.1,
+++,geo,2011,13.3,
+++,geo,2012,10.5,
+++,gha,2005,12.4,
+++,gha,2012,10.6,
+++,gtm,2006,30,
+++,gtm,2014,42.16232,
+++,gin,1994,17.5,
+++,gin,2002,23.5,
->,nic->gin,1998->2007,30.5,
+++,gin,2012,35.4,
+++,gnb,2010,51,
+++,hti,2012,40.6,
+++,hnd,2001,55.9,
+++,hnd,2002,58,
+++,hnd,2003,57.5,
->,hnd,2004,29.5->57.1,93.56
+++,hnd,2005,57.7,
+++,hnd,2006,52.9,
+++,hnd,2007,51,
+++,hnd,2008,55.2,
+++,hnd,2009,52.8,
+++,hnd,2010,54.3,
+++,hnd,2011,58.5,
+++,hnd,2012,63.6,
+++,hnd,2013,60.4,
+++,hnd,2014,61,
+++,ind,1993,31.8,
+++,ind,2004,25.7,
+++,ind,2009,20.9,
+++,ind,2011,13.7,
+++,idn,1996,13.4,
->,idn,1999,16.1->19.4,20.50
+++,idn,2002,14.5,
+++,idn,2003,13.6,
+++,idn,2004,12.1,
+++,idn,2005,11.7,
+++,idn,2006,13.5,
+++,idn,2007,12.5,
+++,idn,2008,11.7,
+++,idn,2009,10.7,
+++,idn,2010,9.9,
---,ury,1998,24.7,
---,uzb,2000,22.5,
->,vnm->idn,1998->2011,9.2,
+++,idn,2012,8.8,
+++,idn,2013,8.4,
+++,idn,2014,8.3,
+++,irq,2006,15.7,
+++,irq,2012,14.8,
+++,jam,1991,16.1,
+++,jam,1992,22.8,
+++,jam,1998,5.5,
+++,jam,1999,11.1,
+++,jam,2001,9.9,
+++,jam,2002,10.6,
+++,jor,2010,13.9,
