@@,geo,time,mean_years_in_school_men_25_to_34_years,changes(%)
+++,ssd,1972,1.12,
->,swz,1972,3.4->3.89,14.41
->,tcd,1972,1.2->1.7,41.67
->,tgo,1972,2.5->2.93,17.20
->,tha,1972,5.3->4.76,10.19
->,tls,1972,1.6->3.25,103.12
->,tun,1972,4.6->3.94,14.35
->,tur,1972,4.1->4.96,20.98
->,twn,1972,6.8->7.9,16.18
->,ukr,1972,9.4->7.85,16.49
+++,vct,1972,4.81,
->,vnm,1972,6->4.71,21.50
->,yem,1972,1.3->2.37,82.31
->,zaf,1972,4.6->5.88,27.83
->,zmb,1972,4.9->4.16,15.10
->,afg,1973,1.2->1.47,22.50
->,ago,1973,2.7->2.98,10.37
+++,and,1973,8.76,
->,arm,1973,8.2->7.36,10.24
->,atg,1973,8.6->7.48,13.02
->,aus,1973,10.3->9.17,10.97
->,bdi,1973,1.7->1.99,17.06
->,ben,1973,1.9->2.13,12.11
->,bfa,1973,0.7->1.03,47.14
->,blr,1973,9.1->8.03,11.76
->,blz,1973,5.9->4.66,21.02
+++,brb,1973,4.92,
+++,brn,1973,9.07,
+++,btn,1973,2.65,
->,caf,1973,2.5->3.05,22.00
->,che,1973,10.3->9.13,11.36
->,chn,1973,5->5.7,14.00
->,civ,1973,2.2->2.61,18.64
->,cod,1973,4.8->4.06,15.42
->,com,1973,2->3.01,50.50
->,cpv,1973,2.4->2.81,17.08
->,cub,1973,7.4->6.6,10.81
->,cze,1973,11.3->9.09,19.56
->,deu,1973,9.5->8.26,13.05
->,dji,1973,3.1->3.65,17.74
+++,dma,1973,5.67,
->,dza,1973,2.2->2.84,29.09
->,eri,1973,1.4->2.41,72.14
->,esp,1973,5.1->6.86,34.51
->,eth,1973,1.1->2.36,114.55
->,fji,1973,7.7->6.8,11.69
+++,fsm,1973,7.18,
->,gbr,1973,10.3->9.06,12.04
->,gha,1973,5.1->4.21,17.45
->,gin,1973,1.4->1.8,28.57
->,gmb,1973,1.9->2.51,32.11
->,gnb,1973,1.4->1.72,22.86
+++,grd,1973,4.92,
->,gtm,1973,2.8->3.2,14.29
->,guy,1973,6.5->4.99,23.23
->,hti,1973,2->3.17,58.50
->,irq,1973,5.7->3.6,36.84
+++,isl,1973,8.35,
->,jam,1973,7.1->5.95,16.20
->,kwt,1973,4.4->5.1,15.91
->,lao,1973,2.5->2.92,16.80
+++,lby,1973,3.8,
->,mar,1973,2.4->2.7,12.50
->,mda,1973,8.6->7.39,14.07
->,mdv,1973,4.2->3.6,14.29
->,mhl,1973,6.4->5.06,20.94
->,mli,1973,0.9->1.01,12.22
+++,mlt,1973,6.99,
->,mne,1973,8.4->7.2,14.29
->,mng,1973,7.1->5.83,17.89
->,mrt,1973,1.6->2.59,61.87
->,ner,1973,0.5->0.98,96.00
->,nga,1973,3.6->3.97,10.28
->,npl,1973,2->2.89,44.50
->,omn,1973,3.4->4.43,30.29
->,pak,1973,2.4->2.73,13.75
->,per,1973,6->6.71,11.83
->,png,1973,2.8->3.6,28.57
+++,prk,1973,6.8,
->,pry,1973,5->4.45,11.00
->,sau,1973,5.6->6.62,18.21
->,sdn,1973,3.1->4.03,30.00
->,sen,1973,1.6->1.88,17.50
->,sgp,1973,6.2->6.99,12.74
->,som,1973,1.2->1.41,17.50
+++,ssd,1973,1.15,
->,swz,1973,3.5->3.99,14.00
->,tcd,1973,1.3->1.75,34.62
->,tgo,1973,2.6->3,15.38
->,tls,1973,1.6->3.33,108.12
->,tun,1973,4.8->4.07,15.21
->,tur,1973,4.3->5.07,17.91
->,twn,1973,7.1->8.05,13.38
->,ukr,1973,9.6->7.99,16.77
+++,vct,1973,4.92,
->,vnm,1973,6.2->4.82,22.26
->,yem,1973,1.4->2.44,74.29
->,zaf,1973,4.8->5.98,24.58
->,zmb,1973,5.1->4.26,16.47
->,afg,1974,1.3->1.51,16.15
+++,and,1974,8.9,
->,are,1974,5.6->5.02,10.36
->,arm,1974,8.4->7.49,10.83
->,atg,1974,8.7->7.61,12.53
->,aus,1974,10.4->9.31,10.48
->,bdi,1974,1.8->2.04,13.33
->,bfa,1974,0.8->1.06,32.50
->,blr,1974,9.3->8.16,12.26
->,blz,1974,6.1->4.76,21.97
+++,brb,1974,5.02,
+++,brn,1974,9.21,
+++,btn,1974,2.71,
->,caf,1974,2.7->3.12,15.56
->,che,1974,10.5->9.27,11.71
->,chn,1974,5.1->5.81,13.92
->,civ,1974,2.3->2.68,16.52
->,cod,1974,5->4.15,17.00
->,com,1974,2.1->3.09,47.14
->,cpv,1974,2.5->2.88,15.20
->,cri,1974,5.7->5.05,11.40
