alternative_gdp_per_capita_ppp_wb,geo,time
1014,bfa,2005
1051,bfa,2006
1057,bfa,2007
1086,bfa,2008
1085,bfa,2009
1136,bfa,2010
1149,bfa,2011
604.3,bdi,1980
657.5,bdi,1981
630.1,bdi,1982
632.4,bdi,1983
612.8,bdi,1984
663.1,bdi,1985
663.1,bdi,1986
678.1,bdi,1987
691.6,bdi,1988
682.1,bdi,1989
689.1,bdi,1990
708,bdi,1991
701.6,bdi,1992
646.9,bdi,1993
613.5,bdi,1994
558.4,bdi,1995
509.3,bdi,1996
497.8,bdi,1997
518,bdi,1998
507.8,bdi,1999
496.3,bdi,2000
496.7,bdi,2001
506.6,bdi,2002
487.1,bdi,2003
496.1,bdi,2004
485.9,bdi,2005
496.8,bdi,2006
504.8,bdi,2007
514.5,bdi,2008
517.6,bdi,2009
523.6,bdi,2010
533.3,bdi,2011
740,khm,1993
783.3,khm,1994
810.9,khm,1995
833.2,khm,1996
859.6,khm,1997
883.4,khm,1998
969.4,khm,1999
1035,khm,2000
1100,khm,2001
1157,khm,2002
1238,khm,2003
1348,khm,2004
1508,khm,2005
1651,khm,2006
1799,khm,2007
1898,khm,2008
1879,khm,2009
1968,khm,2010
2080,khm,2011
2007,cmr,1980
2282,cmr,1981
2384,cmr,1982
2477,cmr,1983
2587,cmr,1984
2715,cmr,1985
2815,cmr,1986
2674,cmr,1987
2393,cmr,1988
2282,cmr,1989
2082,cmr,1990
1947,cmr,1991
1835,cmr,1992
1728,cmr,1993
1641,cmr,1994
1653,cmr,1995
1693,cmr,1996
1738,cmr,1997
1784,cmr,1998
1820,cmr,1999
1853,cmr,2000
1893,cmr,2001
1925,cmr,2002
1958,cmr,2003
1985,cmr,2004
1986,cmr,2005
2005,cmr,2006
2029,cmr,2007
2043,cmr,2008
2038,cmr,2009
2058,cmr,2010
2090,cmr,2011
23070,can,1980
23580,can,1981
22640,can,1982
23020,can,1983
24120,can,1984
25040,can,1985
25390,can,1986
26130,can,1987
27080,can,1988
27290,can,1989
26940,can,1990
26020,can,1991
25930,can,1992
26250,can,1993
27240,can,1994
27780,can,1995
27930,can,1996
28800,can,1997
29720,can,1998
31110,can,1999
32450,can,2000
32690,can,2001
33350,can,2002
33640,can,2003
34340,can,2004
35030,can,2005
35730,can,2006
36120,can,2007
35950,can,2008
34530,can,2009
35220,can,2010
35720,can,2011
993.9,cpv,1981
1029,cpv,1982
1114,cpv,1983
1203,cpv,1984
1274,cpv,1985
1289,cpv,1986
1310,cpv,1987
1377,cpv,1988
1440,cpv,1989
1427,cpv,1990
1416,cpv,1991
1426,cpv,1992
1486,cpv,1993
1546,cpv,1994
1621,cpv,1995
1647,cpv,1996
1699,cpv,1997
1789,cpv,1998
1906,cpv,1999
2187,cpv,2000
2280,cpv,2001
2360,cpv,2002
2432,cpv,2003
2499,cpv,2004
2628,cpv,2005
2862,cpv,2006
3078,cpv,2007
3240,cpv,2008
3331,cpv,2009
3474,cpv,2010
3616,cpv,2011
955.5,caf,1980
