internet_users_total_number,geo,time
710000,fin,1995
860000,fin,1996
1000000,fin,1997
1311000,fin,1998
1667000,fin,1999
1927000,fin,2000
2235000,fin,2001
3245000,fin,2002
3607000,fin,2003
3783000,fin,2004
3906000,fin,2005
4195000,fin,2006
4274000,fin,2007
4448000,fin,2008
4406000,fin,2009
4661000,fin,2010
29930,fra,1990
79800,fra,1991
159600,fra,1992
339100,fra,1993
518600,fra,1994
947500,fra,1995
1500000,fra,1996
2479000,fra,1997
3697000,fra,1998
5361000,fra,1999
8449000,fra,2000
15640000,fra,2001
18040000,fra,2002
21750000,fra,2003
23720000,fra,2004
26150000,fra,2005
28770000,fra,2006
40810000,fra,2007
43890000,fra,2008
44700000,fra,2009
50290000,fra,2010
0,pyf,1990
200.3,pyf,1996
481.7,pyf,1997
3016,pyf,1998
8054,pyf,1999
15110,pyf,2000
15090,pyf,2001
20090,pyf,2002
35080,pyf,2003
45000,pyf,2004
54900,pyf,2005
64810,pyf,2006
74720,pyf,2007
89600,pyf,2008
119400,pyf,2009
132700,pyf,2010
0,gab,1990
0,gab,1996
551.2,gab,1997
2004,gab,1998
3005,gab,1999
15020,gab,2000
17020,gab,2001
25030,gab,2002
35040,gab,2003
40040,gab,2004
67070,gab,2005
76690,gab,2006
82100,gab,2007
90060,gab,2008
98990,gab,2009
108800,gab,2010
0,gmb,1990
103.8,gmb,1995
411.3,gmb,1996
611.2,gmb,1997
2525,gmb,1998
9021,gmb,1999
11960,gmb,2000
17860,gmb,2001
24720,gmb,2002
34550,gmb,2003
48310,gmb,2004
57120,gmb,2005
81040,gmb,2006
98740,gmb,2007
112600,gmb,2008
128300,gmb,2009
159000,gmb,2010
0,geo,1990
600,geo,1995
2000,geo,1996
3001,geo,1997
5001,geo,1998
20010,geo,1999
23000,geo,2000
46490,geo,2001
73460,geo,2002
116900,geo,2003
175600,geo,2004
272200,geo,2005
334400,geo,2006
364800,geo,2007
439800,geo,2008
877800,geo,2009
1171000,geo,2010
99580,deu,1990
199300,deu,1991
349500,deu,1992
375200,deu,1993
751800,deu,1994
1506000,deu,1995
2511000,deu,1996
5525000,deu,1997
8134000,deu,1998
17160000,deu,1999
24880000,deu,2000
26080000,deu,2001
40240000,deu,2002
46110000,deu,2003
53420000,deu,2004
56710000,deu,2005
59560000,deu,2006
62020000,deu,2007
64330000,deu,2008
65100000,deu,2009
67490000,deu,2010
0,gha,1990
59.14,gha,1995
984.5,gha,1996
4917,gha,1997
5894,gha,1998
19630,gha,1999
29440,gha,2000
39270,gha,2001
167000,gha,2002
245900,gha,2003
362600,gha,2004
396300,gha,2005
603700,gha,2006
874400,gha,2007
993400,gha,2008
1296000,gha,2009
2329000,gha,2010
0,gib,1990
725.1,gib,1997
1137,gib,1998
1616,gib,1999
5232,gib,2000
5846,gib,2001
6625,gib,2002
8047,gib,2003
9469,gib,2004
11360,gib,2005
13240,gib,2006
15120,gib,2007
16990,gib,2008
19040,gib,2009
19010,gib,2010
0,grc,1990
4999,grc,1991
4999,grc,1992
19990,grc,1993
39990,grc,1994
80000,grc,1995
150100,grc,1996
200200,grc,1997
350700,grc,1998
752200,grc,1999
1004000,grc,2000
1206000,grc,2001
1624000,grc,2002
1978000,grc,2003
2388000,grc,2004
2684000,grc,2005
3618000,grc,2006
4039000,grc,2007
4313000,grc,2008
4802000,grc,2009
5044000,grc,2010
0,grl,1990
36,grl,1994
30,grl,1995
1000,grl,1996
4434,grl,1997
8187,grl,1998
12100,grl,1999
17840,grl,2000
20000,grl,2001
25000,grl,2002
31000,grl,2003
32000,grl,2004
33000,grl,2005
34000,grl,2006
35000,grl,2007
36010,grl,2008
36000,grl,2009
36100,grl,2010
0,grd,1990
0,grd,1991
0,grd,1992
0,grd,1993
0,grd,1994
0,grd,1995
300.1,grd,1996
1001,grd,1997
1503,grd,1998
2507,grd,1999
4126,grd,2000
5217,grd,2001
15050,grd,2002
19050,grd,2003
20050,grd,2004
21050,grd,2005
22050,grd,2006
23040,grd,2007
24040,grd,2008
25040,grd,2009
34960,grd,2010
0,gum,1990
500,gum,1994
960,gum,1995
2000,gum,1996
3500,gum,1997
6800,gum,1998
13000,gum,1999
