new_births_total_number_estimated,geo,time
71880,arg,1863
73790,arg,1864
75780,arg,1865
77850,arg,1866
80000,arg,1867
82250,arg,1868
84590,arg,1869
86200,arg,1870
87740,arg,1871
96600,arg,1872
99000,arg,1873
101900,arg,1874
105000,arg,1875
108200,arg,1876
111200,arg,1877
114600,arg,1878
118300,arg,1879
122000,arg,1880
125500,arg,1881
129500,arg,1882
132000,arg,1883
134200,arg,1884
136700,arg,1885
139200,arg,1886
141500,arg,1887
145000,arg,1888
148500,arg,1889
152200,arg,1890
155900,arg,1891
159700,arg,1892
165400,arg,1893
171300,arg,1894
177400,arg,1895
183900,arg,1896
190700,arg,1897
197200,arg,1898
204000,arg,1899
211100,arg,1900
218600,arg,1901
225700,arg,1902
231800,arg,1903
238200,arg,1904
244800,arg,1905
251600,arg,1906
257700,arg,1907
263900,arg,1908
270200,arg,1909
276600,arg,1910
282800,arg,1911
289300,arg,1912
296200,arg,1913
301800,arg,1914
305500,arg,1915
308000,arg,1916
309900,arg,1917
311500,arg,1918
313600,arg,1919
316500,arg,1920
320700,arg,1921
326500,arg,1922
333300,arg,1923
340100,arg,1924
346200,arg,1925
351500,arg,1926
356800,arg,1927
359100,arg,1928
360900,arg,1929
365000,arg,1930
369100,arg,1931
373200,arg,1932
377400,arg,1933
381500,arg,1934
385600,arg,1935
389700,arg,1936
393900,arg,1937
398000,arg,1938
402100,arg,1939
406300,arg,1940
410400,arg,1941
414500,arg,1942
418600,arg,1943
422800,arg,1944
426900,arg,1945
431000,arg,1946
435200,arg,1947
439300,arg,1948
443400,arg,1949
447500,arg,1950
450200,arg,1951
455300,arg,1952
460200,arg,1953
464900,arg,1954
469300,arg,1955
473600,arg,1956
477600,arg,1957
481400,arg,1958
485000,arg,1959
488300,arg,1960
491400,arg,1961
494500,arg,1962
497700,arg,1963
501300,arg,1964
505600,arg,1965
510900,arg,1966
517400,arg,1967
525300,arg,1968
535000,arg,1969
547100,arg,1970
562500,arg,1971
581100,arg,1972
602000,arg,1973
624300,arg,1974
646100,arg,1975
664900,arg,1976
679400,arg,1977
688500,arg,1978
692500,arg,1979
692100,arg,1980
689000,arg,1981
685500,arg,1982
683500,arg,1983
683600,arg,1984
686200,arg,1985
691200,arg,1986
697200,arg,1987
703300,arg,1988
709100,arg,1989
713800,arg,1990
717000,arg,1991
718700,arg,1992
719000,arg,1993
718100,arg,1994
716500,arg,1995
715100,arg,1996
714500,arg,1997
715000,arg,1998
716900,arg,1999
720000,arg,2000
723900,arg,2001
727900,arg,2002
731500,arg,2003
734600,arg,2004
737200,arg,2005
739400,arg,2006
741600,arg,2007
744000,arg,2008
746500,arg,2009
748900,arg,2010
751100,arg,2011
752700,arg,2012
753700,arg,2013
753900,arg,2014
753400,arg,2015
21990,arm,1800
21990,arm,1801
22020,arm,1802
22020,arm,1803
22020,arm,1804
22050,arm,1805
22050,arm,1806
22050,arm,1807
22070,arm,1808
22070,arm,1809
22070,arm,1810
22080,arm,1811
22130,arm,1812
22160,arm,1813
22200,arm,1814
22270,arm,1815
22330,arm,1816
22400,arm,1817
22510,arm,1818
22600,arm,1819
22700,arm,1820
22840,arm,1821
22960,arm,1822
23090,arm,1823
23260,arm,1824
23420,arm,1825
23580,arm,1826
23790,arm,1827
23980,arm,1828
24180,arm,1829
24390,arm,1830
24640,arm,1831
24870,arm,1832
25100,arm,1833
25360,arm,1834
25590,arm,1835
25820,arm,1836
26090,arm,1837
26330,arm,1838
26570,arm,1839
26850,arm,1840
27090,arm,1841
27340,arm,1842
27620,arm,1843
27880,arm,1844
28130,arm,1845
28420,arm,1846
