geo,electricity_use_per_person,time
chn,391.4,1986
chn,426.6,1987
chn,461.8,1988
chn,487.4,1989
chn,510.6,1990
chn,548.9,1991
chn,604.6,1992
chn,662.5,1993
chn,727,1994
chn,770.2,1995
chn,821,1996
chn,852.6,1997
chn,870.5,1998
chn,913.9,1999
chn,993.3,2000
chn,1077,2001
chn,1195,2002
chn,1380,2003
chn,1587,2004
chn,1784,2005
chn,2042,2006
chn,2330,2007
chn,2458,2008
chn,2633,2009
chn,2944,2010
chn,3298,2011
col,417.1,1971
col,402.4,1972
col,434.6,1973
col,474.1,1974
col,455.7,1975
col,470.4,1976
col,513.5,1977
col,568.4,1978
col,607,1979
col,636.5,1980
col,633,1981
col,657.7,1982
col,662,1983
col,717.7,1984
col,752,1985
col,805.5,1986
col,780.9,1987
col,799.9,1988
col,846.3,1989
col,866.2,1990
col,866.1,1991
col,774.5,1992
col,868.6,1993
col,906.3,1994
col,916.6,1995
col,907.2,1996
col,913.5,1997
col,889.5,1998
col,822.8,1999
col,839.9,2000
col,859.4,2001
col,866,2002
col,868.3,2003
col,902.5,2004
col,897.9,2005
col,947.4,2006
col,972.2,2007
col,969.1,2008
col,1042,2009
col,1009,2010
col,1123,2011
cod,162.3,1971
cod,158.8,1972
cod,167.3,1973
cod,169.3,1974
cod,167.2,1975
cod,161.9,1976
cod,158.4,1977
cod,148.5,1978
cod,143,1979
cod,150.9,1980
cod,135.5,1981
cod,130.1,1982
cod,137.6,1983
cod,140.7,1984
cod,147.4,1985
cod,149.7,1986
cod,144.9,1987
cod,144.8,1988
cod,168.2,1989
cod,129.8,1990
cod,124.3,1991
cod,114,1992
cod,101.4,1993
cod,100.2,1994
cod,107.8,1995
cod,104,1996
cod,94.85,1997
cod,93.17,1998
cod,95.62,1999
cod,96.89,2000
cod,96.06,2001
cod,90.37,2002
cod,91.01,2003
cod,89.16,2004
cod,90.71,2005
cod,103.6,2006
cod,107.6,2007
cod,103.9,2008
cod,110.3,2009
cod,100.9,2010
cod,105.3,2011
cog,55.96,1971
cog,57.1,1972
cog,62.21,1973
cog,63,1974
cog,65.64,1975
cog,68.11,1976
cog,69.81,1977
cog,71.37,1978
cog,75.07,1979
cog,82.39,1980
cog,69.19,1981
cog,103.4,1982
cog,98.35,1983
cog,147.5,1984
cog,111.6,1985
cog,174,1986
cog,177.4,1987
cog,166,1988
cog,168.1,1989
cog,172,1990
cog,183.1,1991
cog,176,1992
cog,159.4,1993
cog,143.5,1994
cog,150.7,1995
cog,153.7,1996
cog,128.5,1997
cog,110.4,1998
cog,69.31,1999
cog,95.64,2000
cog,105.1,2001
cog,116.3,2002
cog,116.3,2003
cog,107.3,2004
cog,120,2005
cog,129.2,2006
cog,131.7,2007
cog,148.8,2008
cog,150.2,2009
cog,145.9,2010
cog,171.6,2011
cri,614.9,1971
cri,662.9,1972
cri,688.7,1973
cri,733.1,1974
cri,746.1,1975
cri,782.3,1976
cri,814,1977
cri,866.4,1978
cri,874.3,1979
cri,947.9,1980
cri,979.4,1981
cri,948.7,1982
cri,932.8,1983
cri,1004,1984
cri,1022,1985
cri,1092,1986
cri,1160,1987
cri,1157,1988
cri,1090,1989
cri,1086,1990
cri,1138,1991
cri,1428,1992
cri,1357,1993
cri,1292,1994
cri,1301,1995
cri,1273,1996
cri,1382,1997
cri,1332,1998
cri,1452,1999
cri,1519,2000
cri,1493,2001
cri,1561,2002
cri,1641,2003
cri,1671,2004
cri,1707,2005
cri,1803,2006
cri,1861,2007
cri,1860,2008
cri,1813,2009
cri,1851,2010
cri,1844,2011
civ,94.21,1971
civ,101.1,1972
civ,111.1,1973
civ,113.7,1974
civ,122.3,1975
civ,135.5,1976
civ,144.3,1977
civ,157,1978
civ,193.1,1979
civ,177.7,1980
civ,183.8,1981
civ,181.6,1982
civ,173.3,1983
civ,128.6,1984
civ,147.6,1985
civ,148.2,1986
civ,167,1987
civ,171.5,1988
civ,157.9,1989
civ,157.9,1990
civ,146.4,1991
civ,151.4,1992
civ,143.1,1993
civ,145.8,1994
civ,176.1,1995
civ,162,1996
civ,173,1997
civ,188.8,1998
civ,178.4,1999
civ,177.5,2000
civ,187,2001
civ,182.5,2002
civ,181.5,2003
civ,181.8,2004
civ,181.2,2005
civ,193,2006
civ,199.8,2007
civ,210.1,2008
civ,216.3,2009
civ,224.7,2010
civ,212.4,2011
hrv,2965,1990
hrv,2712,1991
hrv,2281,1992
hrv,2199,1993
hrv,2204,1994
hrv,2290,1995
hrv,2439,1996
hrv,2589,1997
hrv,2650,1998
hrv,2754,1999
hrv,2856,2000
hrv,2899,2001
hrv,3092,2002
hrv,3158,2003
hrv,3326,2004
hrv,3476,2005
hrv,3636,2006
hrv,3738,2007
hrv,3878,2008
hrv,3712,2009
hrv,3814,2010
hrv,3901,2011
cub,505.8,1971
cub,515,1972
cub,547.4,1973
cub,571.7,1974
cub,623.2,1975
cub,671.2,1976
cub,721.6,1977
cub,788.7,1978
cub,863.7,1979
cub,841.3,1980
cub,964.3,1981
cub,1008,1982
cub,1052,1983
cub,1117,1984
cub,1003,1985
cub,1074,1986
cub,1091,1987
cub,1148,1988
cub,1185,1989
cub,1212,1990
cub,1048,1991
cub,902.7,1992
cub,837.7,1993
cub,895.1,1994
cub,915.7,1995
cub,970.8,1996
cub,1037,1997
cub,1043,1998
cub,1079,1999
cub,1137,2000
cub,1157,2001
cub,1184,2002
cub,1192,2003
cub,1173,2004
cub,1152,2005
cub,1223,2006
cub,1296,2007
cub,1316,2008
cub,1327,2009
cub,1297,2010
cub,1327,2011
cyp,990.6,1971
cyp,1134,1972
cyp,1219,1973
cyp,1043,1974
cyp,1030,1975
cyp,1139,1976
cyp,1217,1977
cyp,1285,1978
cyp,1359,1979
cyp,1415,1980
cyp,1437,1981
cyp,1537,1982
cyp,1655,1983
cyp,1684,1984
cyp,1766,1985
cyp,1873,1986
cyp,1951,1987
cyp,2091,1988
cyp,2295,1989
cyp,2430,1990
cyp,2481,1991
cyp,2838,1992
cyp,3004,1993
cyp,3058,1994
cyp,2785,1995
cyp,2817,1996
cyp,2868,1997
cyp,3100,1998
cyp,3180,1999
cyp,3373,2000
cyp,3451,2001
cyp,3692,2002
cyp,3900,2003
cyp,3926,2004
cyp,4080,2005
cyp,4227,2006
cyp,4380,2007
cyp,4573,2008
cyp,4609,2009
cyp,4623,2010
cyp,4271,2011
cze,3424,1971
cze,3596,1972
cze,3730,1973
cze,3860,1974
cze,4031,1975
cze,4173,1976
cze,4293,1977
cze,4500,1978
cze,4392,1979
cze,4585,1980
cze,4640,1981
cze,4676,1982
cze,4812,1983
cze,4960,1984
cze,5142,1985
cze,5259,1986
cze,5447,1987
cze,5505,1988
cze,5577,1989
cze,5600,1990
cze,5256,1991
cze,5078,1992
cze,5032,1993
cze,5187,1994
cze,5471,1995
cze,5729,1996
cze,5660,1997
cze,5605,1998
cze,5494,1999
cze,5694,2000
cze,5881,2001
cze,5890,2002
cze,6067,2003
cze,6219,2004
cze,6342,2005
cze,6509,2006
cze,6496,2007
cze,6464,2008
cze,6114,2009
cze,6321,2010
cze,6289,2011
dnk,1090,1960
dnk,1192,1961
dnk,1356,1962
dnk,1498,1963
dnk,1624,1964
dnk,1819,1965
dnk,1984,1966
dnk,2128,1967
dnk,2339,1968
dnk,2620,1969
dnk,2893,1970
dnk,3059,1971
dnk,3347,1972
dnk,3428,1973
dnk,3246,1974
dnk,3415,1975
dnk,3794,1976
dnk,4000,1977
dnk,4314,1978
dnk,4542,1979
dnk,4599,1980
dnk,4590,1981
dnk,4679,1982
dnk,4740,1983
dnk,4980,1984
dnk,5351,1985
dnk,5619,1986
dnk,5794,1987
dnk,5858,1988
dnk,5854,1989
dnk,5945,1990
dnk,6217,1991
dnk,6236,1992
dnk,6307,1993
dnk,6540,1994
dnk,6425,1995
dnk,6647,1996
dnk,6607,1997
dnk,6504,1998
dnk,6509,1999
