geo,renewable_water_cu_meters_per_person,time
ken,3017,1967
ken,2536,1972
ken,2110,1977
ken,1747,1982
ken,1452,1987
ken,1227,1992
ken,1062,1997
ken,932.8,2002
ken,839.9,2007
kwt,58.63,1962
kwt,34.69,1967
kwt,23.68,1972
kwt,17.44,1977
kwt,13.29,1982
kwt,10.3,1987
kwt,10.04,1992
kwt,10.87,1997
kwt,8.199,2002
kwt,7.197,2007
kgz,4596,1992
kgz,4356,1997
kgz,4069,2002
kgz,3914,2007
lao,159700,1962
lao,141100,1967
lao,123500,1972
lao,111600,1977
lao,103000,1982
lao,89560,1987
lao,77130,1992
lao,67810,1997
lao,61740,2002
lao,57910,2007
lva,13570,1992
lva,14560,1997
lva,15120,2002
lva,15490,2007
lbn,2241,1962
lbn,1969,1967
lbn,1751,1972
lbn,1624,1977
lbn,1594,1982
lbn,1553,1987
lbn,1426,1992
lbn,1240,1997
lbn,1164,2002
lbn,1110,2007
lso,3427,1962
lso,3112,1967
lso,2807,1972
lso,2511,1977
lso,2211,1982
lso,1976,1987
lso,1835,1992
lso,1690,1997
lso,1564,2002
lso,1515,2007
lbr,209100,1962
lbr,182300,1967
lbr,157900,1972
lbr,136300,1977
lbr,115600,1982
lbr,105900,1987
lbr,112000,1992
lbr,93680,1997
lbr,71450,2002
lbr,64820,2007
lby,413.4,1962
lby,341.1,1967
lby,276.5,1972
lby,223.7,1977
lby,177.5,1982
lby,146.9,1987
lby,131.9,1992
lby,119.3,1997
lby,107.8,2002
lby,99.36,2007
ltu,6742,1992
ltu,6959,1997
ltu,7181,2002
ltu,7306,2007
lux,9658,1962
lux,9263,1967
lux,8939,1972
lux,8548,1977
lux,8504,1982
lux,8355,1987
lux,7919,1992
lux,7376,1997
lux,6965,2002
lux,6719,2007
mdg,59690,1962
mdg,52560,1967
mdg,46150,1972
mdg,40400,1977
mdg,35160,1982
mdg,30510,1987
mdg,26420,1992
mdg,22760,1997
mdg,19660,2002
mdg,17590,2007
mwi,4674,1962
mwi,4140,1967
mwi,3604,1972
mwi,3062,1977
mwi,2639,1982
mwi,2122,1987
mwi,1764,1992
mwi,1629,1997
mwi,1409,2002
mwi,1273,2007
mys,66890,1962
mys,57750,1967
mys,50840,1972
mys,45200,1977
mys,40090,1982
mys,34920,1987
mys,30390,1992
mys,26770,1997
mys,23910,2002
mys,22210,2007
mdv,292.8,1962
mdv,264.1,1967
mdv,235.7,1972
mdv,206.8,1977
mdv,179,1982
mdv,153.2,1987
mdv,131,1992
mdv,116,1997
mdv,106.5,2002
mdv,99.9,2007
mli,24000,1962
mli,21840,1967
mli,19660,1972
mli,17580,1977
mli,15760,1982
mli,14040,1987
mli,12390,1992
mli,10860,1997
mli,9428,2002
mli,8355,2007
mlt,163.3,1962
mlt,166.4,1967
mlt,167.2,1972
mlt,162.6,1977
mlt,151.8,1982
mlt,143.9,1987
mlt,137.5,1992
mlt,132,1997
mlt,128,2002
mlt,124.8,2007
mrt,12160,1962
mrt,10710,1967
mrt,9397,1972
mrt,8219,1977
mrt,7191,1982
mrt,6321,1987
mrt,5560,1992
mrt,4843,1997
mrt,4190,2002
mrt,3746,2007
mus,3939,1962
mus,3506,1967
mus,3228,1972
mus,2983,1977
mus,2782,1982
mus,2669,1987
mus,2543,1992
mus,2391,1997
mus,2276,2002
mus,2198,2007
mex,11320,1962
mex,9664,1967
mex,8250,1972
mex,7117,1977
mex,6312,1982
mex,5739,1987
mex,5253,1992
mex,4803,1997
mex,4494,2002
mex,4340,2007
mng,34470,1962
mng,30130,1967
mng,26180,1972
mng,22730,1977
mng,19840,1982
mng,17110,1987
mng,15110,1992
mng,14350,1997
mng,13870,2002
mng,13360,2007
mar,2363,1962
mar,2057,1967
mar,1801,1972
mar,1597,1977
mar,1405,1982
mar,1242,1987
mar,1128,1992
mar,1046,1997
mar,983.2,2002
mar,939.9,2007
moz,27280,1962
moz,24550,1967
moz,21980,1972
moz,19370,1977
moz,17070,1982
moz,16260,1987
moz,15160,1992
moz,12860,1997
moz,11350,2002
moz,10350,2007
mmr,47540,1962
mmr,42540,1967
mmr,37710,1972
mmr,33480,1977
mmr,30140,1982
mmr,27400,1987
mmr,25270,1992
mmr,23610,1997
mmr,22360,2002
mmr,21610,2007
nam,28190,1962
nam,24880,1967
nam,21620,1972
nam,18980,1977
nam,17110,1982
nam,14330,1987
nam,11660,1992
nam,10110,1997
nam,9121,2002
nam,8656,2007
npl,20180,1962
npl,18380,1967
npl,16570,1972
npl,14840,1977
npl,13250,1982
npl,11810,1987
npl,10460,1992
npl,9233,1997
npl,8246,2002
npl,7605,2007
nld,7707,1962
nld,7220,1967
nld,6839,1972
nld,6556,1977
nld,6368,1982
nld,6207,1987
nld,6005,1992
nld,5814,1997
nld,5651,2002
nld,5556,2007
nzl,132000,1962
nzl,120900,1967
nzl,111500,1972
nzl,105200,1977
nzl,103700,1982
nzl,98940,1987
nzl,93070,1992
nzl,87210,1997
nzl,82820,2002
nzl,78990,2007
nic,104900,1962
nic,90170,1967
nic,77120,1972
nic,66000,1977
nic,57130,1982
nic,50680,1987
nic,45260,1992
nic,40510,1997
nic,37420,2002
nic,35550,2007
ner,10340,1962
ner,8788,1967
ner,7488,1972
ner,6389,1977
ner,5480,1982
ner,4725,1987
ner,4024,1992
ner,3371,1997
ner,2818,2002
ner,2450,2007
nga,6452,1962
nga,5729,1967
nga,5066,1972
nga,4409,1977
nga,3809,1982
nga,3310,1987
nga,2859,1992
nga,2485,1997
nga,2179,2002
nga,1978,2007
nor,105000,1962
nor,100900,1967
nor,97090,1972
nor,94470,1977
nor,92910,1982
nor,91290,1987
nor,89130,1992
nor,86640,1997
nor,84000,2002
nor,81820,2007
pse,727,1962
pse,721.9,1967
pse,739.4,1972
pse,625.8,1977
pse,526.5,1982
pse,435.3,1987
pse,359.3,1992
pse,296.7,1997
pse,247.1,2002
pse,215.2,2007
omn,2358,1962
omn,2063,1967
omn,1741,1972
omn,1381,1977
omn,1060,1982
omn,846,1987
omn,707.8,1992
omn,613.7,1997
omn,572.8,2002
omn,549.8,2007
pak,4639,1962
pak,4091,1967
pak,3584,1972
pak,3119,1977
pak,2650,1982
pak,2202,1987
pak,1892,1992
pak,1676,1997
pak,1501,2002
pak,1400,2007
pan,124000,1962
pan,107100,1967
pan,92960,1972
pan,81620,1977
pan,72550,1982
pan,65260,1987
pan,58920,1992
pan,53220,1997
pan,48310,2002
pan,45010,2007
png,371300,1962
png,335400,1967
png,299400,1972
png,267700,1977
png,238200,1982
png,209300,1987
png,184100,1992
png,161200,1997
png,141500,2002
png,129200,2007
pry,167200,1962
pry,146200,1967
pry,128800,1972
pry,113900,1977
pry,99150,1982
pry,85760,1987
pry,75200,1992
pry,66950,1997
pry,60310,2002
pry,55850,2007
per,181900,1962
per,157700,1967
per,137100,1972
per,119500,1977
per,105100,1982
per,93670,1987
per,84540,1992
per,77720,1997
per,72680,2002
per,69340,2007
phl,16640,1962
phl,14300,1967
phl,12390,1972
phl,10790,1977
phl,9478,1982
phl,8403,1987
phl,7469,1992
phl,6692,1997
phl,6026,2002
phl,5553,2007
pol,2024,1962
pol,1927,1967
pol,1857,1972
pol,1780,1977
pol,1699,1982
pol,1636,1987
pol,1606,1992
pol,1597,1997
pol,1607,2002
pol,1615,2007
prt,7670,1962
prt,7748,1967
prt,7843,1972
prt,7329,1977
prt,6925,1982
prt,6861,1987
prt,6881,1992
prt,6808,1997
prt,6640,2002
prt,6494,2007
pri,2902,1962
pri,2689,1967
pri,2541,1972
pri,2332,1977
pri,2166,1982
pri,2065,1987
pri,1975,1992
pri,1890,1997
pri,1829,2002
pri,1789,2007
qat,1095,1962
qat,688.3,1967
qat,430.6,1972
qat,304.8,1977
qat,209.5,1982
qat,141.6,1987
qat,117.6,1992
qat,104.9,1997
qat,84.42,2002
qat,70.62,2007
kor,2636,1962
kor,2332,1967
kor,2093,1972
kor,1911,1977
kor,1776,1982
kor,1673,1987
kor,1594,1992
kor,1522,1997
kor,1474,2002
kor,1451,2007
mda,2641,1992
mda,2706,1997
mda,2889,2002
mda,3040,2007
reu,14100,1962
reu,11910,1967
reu,10550,1972
reu,10200,1977
reu,9546,1982
reu,8707,1987
reu,7975,1992
reu,7269,1997
reu,6675,2002
reu,6280,2007
rou,11370,1962
rou,10880,1967
rou,10250,1972
rou,9788,1977
rou,9444,1982
rou,9224,1987
rou,9182,1992
rou,9440,1997
rou,9665,2002
rou,9843,2007
rus,30180,1992
rus,30320,1997
