geo,hydro_power_generation_per_person,time
cmr,0.01266,1977
cmr,0.01262,1978
cmr,0.01272,1979
cmr,0.01288,1980
cmr,0.01659,1981
cmr,0.01816,1982
cmr,0.01809,1983
cmr,0.01833,1984
cmr,0.01952,1985
cmr,0.0193,1986
cmr,0.01889,1987
cmr,0.01924,1988
cmr,0.01935,1989
cmr,0.01875,1990
cmr,0.01833,1991
cmr,0.01803,1992
cmr,0.0182,1993
cmr,0.01701,1994
cmr,0.01698,1995
cmr,0.01726,1996
cmr,0.01817,1997
cmr,0.01789,1998
cmr,0.01871,1999
cmr,0.01888,2000
cmr,0.01862,2001
cmr,0.01667,2002
cmr,0.01807,2003
cmr,0.01964,2004
cmr,0.01848,2005
cmr,0.01865,2006
cmr,0.01803,2007
cmr,0.0194,2008
cmr,0.01801,2009
cmr,0.01869,2010
can,0.5127,1960
can,0.4929,1961
can,0.4845,1962
can,0.4751,1963
can,0.5092,1964
can,0.516,1965
can,0.561,1966
can,0.5617,1967
can,0.5595,1968
can,0.6069,1969
can,0.6261,1970
can,0.6336,1971
can,0.699,1972
can,0.7401,1973
can,0.7918,1974
can,0.7523,1975
can,0.781,1976
can,0.7989,1977
can,0.8437,1978
can,0.8656,1979
can,0.8808,1980
can,0.9234,1981
can,0.8861,1982
can,0.905,1983
can,0.9633,1984
can,1.01,1985
can,1.02,1986
can,1.024,1987
can,0.9811,1988
can,0.9166,1989
can,0.9211,1990
can,0.9449,1991
can,0.9583,1992
can,0.9692,1993
can,0.9776,1994
can,0.9857,1995
can,1.034,1996
can,1.01,1997
can,0.9476,1998
can,0.9785,1999
can,1.005,2000
can,0.9255,2001
can,0.9636,2002
can,0.9179,2003
can,0.9174,2004
can,0.9685,2005
can,0.9299,2006
can,0.9584,2007
can,0.9657,2008
can,0.9413,2009
can,0.8884,2010
can,0.9422,2011
chl,0.0424,1971
chl,0.04964,1972
chl,0.04765,1973
chl,0.05333,1974
chl,0.05272,1975
chl,0.05367,1976
chl,0.0559,1977
chl,0.05737,1978
chl,0.05812,1979
chl,0.06054,1980
chl,0.06175,1981
chl,0.06649,1982
chl,0.07056,1983
chl,0.07203,1984
chl,0.07862,1985
chl,0.08263,1986
chl,0.08807,1987
chl,0.0848,1988
chl,0.06997,1989
chl,0.05821,1990
chl,0.08409,1991
chl,0.1053,1992
chl,0.1102,1993
chl,0.103,1994
chl,0.1099,1995
chl,0.09897,1996
chl,0.1098,1997
chl,0.09116,1998
chl,0.07672,1999
chl,0.1032,2000
chl,0.1157,2001
chl,0.1213,2002
chl,0.1168,2003
chl,0.1171,2004
chl,0.1397,2005
chl,0.1521,2006
chl,0.1196,2007
chl,0.1239,2008
chl,0.1283,2009
chl,0.1091,2010
chl,0.1046,2011
chn,0.00308,1971
chn,0.00341,1972
chn,0.00372,1973
chn,0.00412,1974
chn,0.00423,1975
chn,0.00421,1976
chn,0.00433,1977
chn,0.004,1978
chn,0.00444,1979
chn,0.00509,1980
chn,0.00566,1981
chn,0.00633,1982
chn,0.00724,1983
chn,0.00717,1984
chn,0.00752,1985
chn,0.00757,1986
chn,0.00788,1987
chn,0.00845,1988
chn,0.00902,1989
chn,0.00951,1990
chn,0.00927,1991
chn,0.00969,1992
chn,0.01098,1993
chn,0.01198,1994
chn,0.0135,1995
chn,0.01318,1996
chn,0.01361,1997
chn,0.01432,1998
chn,0.01391,1999
chn,0.01507,2000
chn,0.01867,2001
chn,0.01926,2002
chn,0.01886,2003
chn,0.02337,2004
chn,0.02611,2005
chn,0.0285,2006
chn,0.03157,2007
chn,0.03788,2008
chn,0.03965,2009
chn,0.04629,2010
col,0.02621,1971
col,0.02804,1972
col,0.02981,1973
col,0.03249,1974
col,0.03194,1975
col,0.03225,1976
col,0.03582,1977
col,0.04042,1978
col,0.0434,1979
col,0.0457,1980
col,0.04471,1981
col,0.04625,1982
col,0.04568,1983
col,0.04994,1984
col,0.05259,1985
col,0.05957,1986
col,0.06361,1987
col,0.06568,1988
col,0.07041,1989
col,0.07121,1990
col,0.07043,1991
col,0.05554,1992
col,0.06815,1993
col,0.077,1994
col,0.07586,1995
col,0.08223,1996
col,0.07164,1997
col,0.06886,1998
col,0.07419,1999
col,0.06936,2000
col,0.06764,2001
col,0.0711,2002
col,0.07453,2003
col,0.0813,2004
col,0.07952,2005
col,0.08411,2006
col,0.08616,2007
col,0.08865,2008
col,0.07731,2009
col,0.07504,2010
cod,0.01418,1971
cod,0.01379,1972
