geo,malaria_cases_per_100000_reported,time
irq,40.84,1998
irq,16.99,1999
irq,7.425,2000
irq,4.925,2001
irq,3.62,2002
irq,1.29,2003
irq,0.5645,2004
irq,0.1679,2005
irq,0.08419,2006
mar,3.374,1990
mar,1.955,1991
mar,1.575,1992
mar,0.7577,1993
mar,0.776,1994
mar,0.731,1995
mar,0.373,1996
mar,0.4507,1997
mar,0.4305,1998
mar,0.2107,1999
mar,0.2047,2000
mar,0.2023,2001
mar,0.3628,2002
mar,0.2448,2003
mar,0.1857,2004
mar,0.3279,2005
mar,0.269,2006
omn,1775,1990
omn,1009,1991
omn,749.6,1992
omn,824.8,1993
omn,341.8,1994
omn,82.93,1995
omn,56.77,1996
omn,44.98,1997
omn,46.94,1998
omn,38.03,1999
omn,28.89,2000
omn,26.17,2001
omn,24.14,2002
omn,30.09,2003
omn,24.81,2004
omn,21.7,2005
omn,17.4,2006
pak,70.53,1990
pak,57.33,1991
pak,83.16,1992
pak,76.01,1993
pak,87.05,1994
pak,87.53,1995
pak,74.84,1996
pak,57.65,1997
pak,53.33,1998
pak,64.99,1999
pak,57.17,2000
pak,85.07,2001
pak,71.76,2002
pak,81.97,2003
pak,81.58,2004
pak,80.86,2005
pak,77.61,2006
sau,96.37,1990
sau,59.52,1991
sau,114.5,1992
sau,105.1,1993
sau,56.19,1994
sau,102.7,1995
sau,112.3,1996
sau,107.5,1997
sau,206.9,1998
sau,64.99,1999
sau,31.76,2000
sau,14.39,2001
sau,11.92,2002
sau,7.669,2003
sau,5.346,2004
sau,4.485,2005
sau,5.286,2006
som,47.82,1993
som,132.4,1999
som,146.9,2000
som,142.5,2001
som,1293,2002
som,302.4,2003
som,461.8,2004
som,348.1,2005
som,583.2,2006
sdn,28950,1990
sdn,26140,1991
sdn,34200,1992
sdn,35250,1993
sdn,29790,1994
sdn,21520,1995
sdn,15180,1996
sdn,13100,1997
sdn,15900,1998
sdn,12930,1999
sdn,12990,2000
sdn,12400,2001
sdn,10120,2002
sdn,10530,2003
sdn,7192,2004
sdn,7733,2005
sdn,5925,2006
syr,0.8411,1990
syr,0.4122,1991
syr,3.382,1992
syr,6.969,1993
syr,4.095,1994
syr,4.285,1995
syr,2.303,1996
syr,0.8474,1997
syr,0.3819,1998
syr,0.2671,1999
syr,0.2544,2000
syr,0.4661,2001
syr,0.1551,2002
syr,0.1341,2003
syr,0.07069,2004
syr,0.1482,2005
syr,0.1752,2006
yem,92.45,1990
yem,98.55,1991
yem,216.3,1992
yem,219.7,1993
yem,249.7,1994
yem,3221,1995
yem,2585,1996
yem,8383,1997
yem,15760,1999
yem,7670,2000
yem,575.3,2001
yem,970,2002
yem,878,2003
yem,774.3,2004
yem,950.7,2005
yem,931.2,2006
arm,0,1990
arm,0,1991
arm,0,1992
arm,0,1993
arm,5.952,1994
arm,15.56,1995
arm,10.92,1996
arm,26.76,1997
arm,37.06,1998
arm,19.87,1999
arm,4.575,2000
arm,2.578,2001
arm,1.705,2002
arm,0.9547,2003
arm,1.553,2004
arm,0.232,2005
arm,0,2006
aze,0.3328,1990
aze,1.541,1991
aze,0.3623,1992
aze,0.3037,1993
aze,8.675,1994
aze,36.45,1995
aze,166.7,1996
aze,124.5,1997
aze,64.45,1998
aze,28.62,1999
aze,18.74,2000
aze,12.92,2001
aze,6.149,2002
aze,5.831,2003
aze,4.647,2004
aze,2.898,2005
aze,1.701,2006
geo,0.01832,1990
geo,0.03695,1991
geo,0.01876,1992
geo,0,1993
geo,0.01951,1994
geo,0.01987,1995
geo,0.1413,1996
geo,0.02046,1997
geo,0.3314,1998
geo,1.068,1999
geo,5.191,2000
geo,9.409,2001
geo,10.23,2002
geo,6.902,2003
geo,5.667,2004
geo,3.465,2005
geo,1.353,2006
kgz,0.02276,1990
kgz,0.02251,1991
kgz,0.04466,1992
kgz,0,1993
kgz,0.132,1994
kgz,0.06534,1995
kgz,0.5589,1996
kgz,0.2752,1997
kgz,0.2291,1998
kgz,0.1025,1999
kgz,0.2426,2000
kgz,0.5594,2001
kgz,54.26,2002
kgz,9.168,2003
kgz,1.805,2004
kgz,4.343,2005
kgz,6.085,2006
rus,0.1453,1990
rus,0.1134,1991
rus,0.1072,1992
rus,0.1399,1993
rus,0.2244,1994
rus,0.285,1995
rus,0.4103,1996
rus,0.559,1997
rus,0.7287,1998
rus,0.5354,1999
rus,0.5393,2000
rus,0.6116,2001
rus,0.4392,2002
tjk,3.3,1990
tjk,5.426,1991
tjk,7.321,1992
tjk,11.04,1993
tjk,42.37,1994
tjk,105.7,1995
tjk,282.9,1996
tjk,501.8,1997
tjk,321.5,1998
tjk,221.3,1999
